medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
9/8/2024,Silver Medal,2,TAN Jinzhuang,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,27/1/2003,1926910,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,YU Anhui,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,30/4/2001,1926916,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Gold Medal,1,FAN Zhendong,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,22/1/1997,1902295,TTEMTEAM----CHN01,TRUE,GUANG DONG
9/8/2024,Gold Medal,1,MA Long,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,20/10/1988,1902300,TTEMTEAM----CHN01,TRUE,LIAO NING
9/8/2024,Gold Medal,1,WANG Chuqin,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,11/5/2000,1902301,TTEMTEAM----CHN01,TRUE,JI LIN
10/8/2024,Gold Medal,1,WANG Liuyi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,16/1/1997,1908852,SWAWTEAM2---CHN01,TRUE,GUANG DONG
10/8/2024,Gold Medal,1,WANG Qianyi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,16/1/1997,1908853,SWAWTEAM2---CHN01,TRUE,GUANG DONG
10/8/2024,Gold Medal,1,CHEN Meng,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,15/1/1994,1902307,TTEWTEAM----CHN01,TRUE,SHAN DONG
10/8/2024,Gold Medal,1,SUN Yingsha,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,4/11/2000,1902313,TTEWTEAM----CHN01,TRUE,HE BEI
10/8/2024,Gold Medal,1,WANG Manyu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,9/2/1999,1902314,TTEWTEAM----CHN01,TRUE,HEI LONGJIANG
10/8/2024,Gold Medal,1,DING Xinyi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Rhythmic Gymnastics,Group All-Around,TEAM,,27/8/2004,1927515,GRYW5AA-----CHN01,TRUE,CHONG QING
10/8/2024,Gold Medal,1,GUO Qiqi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Rhythmic Gymnastics,Group All-Around,TEAM,,7/8/1998,1927516,GRYW5AA-----CHN01,TRUE,CHONG QING
10/8/2024,Gold Medal,1,HAO Ting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Rhythmic Gymnastics,Group All-Around,TEAM,,23/3/2001,1927517,GRYW5AA-----CHN01,TRUE,JIANG SU
10/8/2024,Gold Medal,1,HUANG Zhangjiayang,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Rhythmic Gymnastics,Group All-Around,TEAM,,15/2/2000,1927518,GRYW5AA-----CHN01,TRUE,SI CHUAN
10/8/2024,Gold Medal,1,WANG Lanjing,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Rhythmic Gymnastics,Group All-Around,TEAM,,10/3/2005,1927519,GRYW5AA-----CHN01,TRUE,ZHE JIANG
