medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
3/8/2024,Gold Medal,1,CHEN Qing Chen,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,CHEN Qing Chen / JIA Yi Fan,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,23/6/1997,1913438,BDMWDOUBLES-CHN02,TRUE,GUANG DONG
3/8/2024,Gold Medal,1,JIA Yi Fan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,CHEN Qing Chen / JIA Yi Fan,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,29/6/1997,1913439,BDMWDOUBLES-CHN02,TRUE,TIAN JIN
3/8/2024,Silver Medal,2,LIU Sheng Shu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIU Sheng Shu / TAN Ning,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,8/4/2004,1913441,BDMWDOUBLES-CHN01,TRUE,LIAO NING
3/8/2024,Silver Medal,2,TAN Ning,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIU Sheng Shu / TAN Ning,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,3/4/2003,1913442,BDMWDOUBLES-CHN01,TRUE,FU JIAN
3/8/2024,Silver Medal,2,XU Jiayu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,19/8/1995,1945132,SWMX4X100MMDCHN01,TRUE,ZHE JIANG
3/8/2024,Silver Medal,2,TANG Qianting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,14/3/2004,1945200,SWMX4X100MMDCHN01,TRUE,SHANG HAI
3/8/2024,Silver Medal,2,ZHANG Yufei,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,19/4/1998,1945125,SWMX4X100MMDCHN01,TRUE,JIANG SU
3/8/2024,Silver Medal,2,PAN Zhanle,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,4/8/2004,1945148,SWMX4X100MMDCHN01,TRUE,ZHE JIANG
3/8/2024,Silver Medal,2,QIN Haiyang,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,17/5/1999,1945128,SWMX4X100MMDCHN01,TRUE,HU NAN
3/8/2024,Silver Medal,2,YANG Junxuan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,26/1/2002,1945159,SWMX4X100MMDCHN01,TRUE,SHAN DONG
4/8/2024,Gold Medal,1,LEE Yang,Male,TPE,Chinese Taipei,Chinese Taipei,TPE,Chinese Taipei,Chinese Taipei,LEE Yang / WANG Chi-Lin,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,12/8/1995,1570107,BDMMDOUBLES-TPE01,TRUE,TAI PEI
4/8/2024,Gold Medal,1,WANG Chi-Lin,Male,TPE,Chinese Taipei,Chinese Taipei,TPE,Chinese Taipei,Chinese Taipei,LEE Yang / WANG Chi-Lin,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,18/1/1995,1570105,BDMMDOUBLES-TPE01,TRUE,TAI PEI
4/8/2024,Silver Medal,2,LIANG Wei Keng,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIANG Wei Keng / WANG Chang,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,30/11/2000,1913424,BDMMDOUBLES-CHN02,TRUE,GUANG DONG
4/8/2024,Silver Medal,2,WANG Chang,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIANG Wei Keng / WANG Chang,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,7/5/2001,1913429,BDMMDOUBLES-CHN02,TRUE,ZHE JIANG
4/8/2024,Gold Medal,1,XU Jiayu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,19/8/1995,1945132,SWMM4X100MMDCHN01,TRUE,ZHE JIANG
4/8/2024,Gold Medal,1,QIN Haiyang,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,17/5/1999,1945128,SWMM4X100MMDCHN01,TRUE,HU NAN
4/8/2024,Gold Medal,1,WANG Changhao,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,1/8/2002,1945149,SWMM4X100MMDCHN01,TRUE,TIAN JIN
4/8/2024,Gold Medal,1,PAN Zhanle,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,4/8/2004,1945148,SWMM4X100MMDCHN01,TRUE,ZHE JIANG
4/8/2024,Gold Medal,1,SUN Jiajun,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--,1/8/2000,1945127,SWMM4X100MMDCHN01,TRUE,HU BEI
4/8/2024,Bronze Medal,3,WANG Xueer,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,15/1/1998,1945157,SWMW4X100MMDCHN01,TRUE,GUANG DONG
4/8/2024,Bronze Medal,3,TANG Qianting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,14/3/2004,1945200,SWMW4X100MMDCHN01,TRUE,SHANG HAI
4/8/2024,Bronze Medal,3,YU Yiting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,5/9/2005,1945164,SWMW4X100MMDCHN01,TRUE,ZHE JIANG
4/8/2024,Bronze Medal,3,WU Qingfeng,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,28/1/2003,1945206,SWMW4X100MMDCHN01,TRUE,ZHE JIANG
4/8/2024,Bronze Medal,3,WAN Letian,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,12/8/2004,1945202,SWMW4X100MMDCHN01,TRUE,JIANG XI
4/8/2024,Bronze Medal,3,YANG Junxuan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,26/1/2002,1945159,SWMW4X100MMDCHN01,TRUE,SHAN DONG
4/8/2024,Bronze Medal,3,ZHANG Yufei,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--,19/4/1998,1945125,SWMW4X100MMDCHN01,TRUE,JIANG SU
5/8/2024,Bronze Medal,3,JIANG Yiting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000200--,1/8/2004,1913978,SHOXSKMT----CHN01,TRUE,FU JIAN
5/8/2024,Bronze Medal,3,LYU Jianlin,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,X,Shooting,Skeet Mixed Team,HTEAM,/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000200--,26/7/1996,1961747,SHOXSKMT----CHN01,TRUE,SI CHUAN
7/8/2024,Gold Medal,1,CHANG Hao,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,28/4/1997,1908847,SWAWTEAM8---CHN01,TRUE,BEI JING
7/8/2024,Gold Medal,1,FENG Yu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,30/9/1999,1908846,SWAWTEAM8---CHN01,TRUE,BEI JING
7/8/2024,Gold Medal,1,WANG Qianyi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,16/1/1997,1908853,SWAWTEAM8---CHN01,TRUE,GUANG DONG
